Date,From_Community,Maximum_Temperature,Minimum_Temperature,Average_Temperature,Temperature_Range,Total_Precipitation,Total_Snow,Average_Humidity,Maximum_Wind_Speed
2014-01-02,FULLER PARK,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,GRAND BOULEVARD,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,GREATER GRAND CROSSING,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,HERMOSA,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,HUMBOLDT PARK,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,HYDE PARK,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,IRVING PARK,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,KENWOOD,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,LAKE VIEW,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,LINCOLN PARK,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,LINCOLN SQUARE,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,LOGAN SQUARE,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,LOOP,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,LOWER WEST SIDE,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,MCKINLEY PARK,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,NEAR NORTH SIDE,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,NEAR SOUTH SIDE,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,NEAR WEST SIDE,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,NEW CITY,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,NORTH CENTER,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,NORTH LAWNDALE,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,NORTH PARK,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,PORTAGE PARK,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,ROGERS PARK,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,SOUTH CHICAGO,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,SOUTH LAWNDALE,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,SOUTH SHORE,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,UPTOWN,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,WASHINGTON PARK,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,WEST ENGLEWOOD,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,WEST GARFIELD PARK,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,WEST RIDGE,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,WEST TOWN,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-02,WOODLAWN,20.1,15.7,17.9,4.4,0.17,2.6,92,20
2014-01-03,ALBANY PARK,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,ARMOUR SQUARE,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,AUSTIN,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,AVALON PARK,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,AVONDALE,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,BRIDGEPORT,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,CHATHAM,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,DOUGLAS,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,EAST GARFIELD PARK,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,EDGEWATER,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,ENGLEWOOD,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,FULLER PARK,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,GRAND BOULEVARD,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,GREATER GRAND CROSSING,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,HERMOSA,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,HUMBOLDT PARK,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,HYDE PARK,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,IRVING PARK,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,KENWOOD,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,LAKE VIEW,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,LINCOLN PARK,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,LINCOLN SQUARE,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,LOGAN SQUARE,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,LOOP,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,LOWER WEST SIDE,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,MCKINLEY PARK,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,NEAR NORTH SIDE,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,NEAR SOUTH SIDE,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,NEAR WEST SIDE,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,NEW CITY,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,NORTH CENTER,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,NORTH LAWNDALE,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,NORTH PARK,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,PORTAGE PARK,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,ROGERS PARK,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,SOUTH CHICAGO,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,SOUTH LAWNDALE,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,SOUTH SHORE,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,UPTOWN,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,WASHINGTON PARK,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,WEST ENGLEWOOD,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,WEST GARFIELD PARK,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,WEST RIDGE,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,WEST TOWN,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-03,WOODLAWN,15.9,0.7,8.3,15.2,0.001,0.1,92,26
2014-01-04,ALBANY PARK,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,ARMOUR SQUARE,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,AUSTIN,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,AVALON PARK,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,AVONDALE,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,BRIDGEPORT,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,CHATHAM,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,DOUGLAS,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,EAST GARFIELD PARK,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,EDGEWATER,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,ENGLEWOOD,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,FULLER PARK,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,GRAND BOULEVARD,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,GREATER GRAND CROSSING,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,HERMOSA,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,HUMBOLDT PARK,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,HYDE PARK,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,IRVING PARK,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,KENWOOD,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,LAKE VIEW,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,LINCOLN PARK,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,LINCOLN SQUARE,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,LOGAN SQUARE,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,LOOP,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,LOWER WEST SIDE,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,MCKINLEY PARK,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,NEAR NORTH SIDE,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,NEAR SOUTH SIDE,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,NEAR WEST SIDE,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,NEW CITY,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,NORTH CENTER,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,NORTH LAWNDALE,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,NORTH PARK,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,PORTAGE PARK,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,ROGERS PARK,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,SOUTH CHICAGO,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,SOUTH LAWNDALE,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,SOUTH SHORE,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,UPTOWN,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,WASHINGTON PARK,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,WEST ENGLEWOOD,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,WEST GARFIELD PARK,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,WEST RIDGE,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,WEST TOWN,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-04,WOODLAWN,30.8,16.7,23.75,14.1,0.09,0.8,90,30
2014-01-05,ALBANY PARK,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,ARMOUR SQUARE,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,AUSTIN,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,AVALON PARK,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,AVONDALE,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,BRIDGEPORT,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,CHATHAM,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,DOUGLAS,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,EAST GARFIELD PARK,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,EDGEWATER,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,ENGLEWOOD,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,FULLER PARK,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,GRAND BOULEVARD,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,GREATER GRAND CROSSING,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,HERMOSA,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,HUMBOLDT PARK,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,HYDE PARK,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,IRVING PARK,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,KENWOOD,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,LAKE VIEW,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,LINCOLN PARK,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,LINCOLN SQUARE,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,LOGAN SQUARE,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,LOOP,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,LOWER WEST SIDE,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,MCKINLEY PARK,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,NEAR NORTH SIDE,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,NEAR SOUTH SIDE,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,NEAR WEST SIDE,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,NEW CITY,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,NORTH CENTER,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,NORTH LAWNDALE,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,NORTH PARK,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,PORTAGE PARK,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,ROGERS PARK,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,SOUTH CHICAGO,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,SOUTH LAWNDALE,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,SOUTH SHORE,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,UPTOWN,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,WASHINGTON PARK,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,WEST ENGLEWOOD,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,WEST GARFIELD PARK,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,WEST RIDGE,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,WEST TOWN,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-05,WOODLAWN,30.7,13.2,21.95,17.5,0.78,9.4,95,29
2014-01-06,ALBANY PARK,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,ARMOUR SQUARE,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,AUSTIN,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,AVALON PARK,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,AVONDALE,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,BRIDGEPORT,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,CHATHAM,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,DOUGLAS,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,EAST GARFIELD PARK,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,EDGEWATER,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,ENGLEWOOD,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,FULLER PARK,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,GRAND BOULEVARD,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,GREATER GRAND CROSSING,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,HERMOSA,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,HUMBOLDT PARK,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,HYDE PARK,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,IRVING PARK,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,KENWOOD,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,LAKE VIEW,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,LINCOLN PARK,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,LINCOLN SQUARE,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,LOGAN SQUARE,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,LOOP,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,LOWER WEST SIDE,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,MCKINLEY PARK,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,NEAR NORTH SIDE,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,NEAR SOUTH SIDE,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,NEAR WEST SIDE,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,NEW CITY,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,NORTH CENTER,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,NORTH LAWNDALE,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,NORTH PARK,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,PORTAGE PARK,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,ROGERS PARK,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,SOUTH CHICAGO,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,SOUTH LAWNDALE,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,SOUTH SHORE,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,UPTOWN,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,WASHINGTON PARK,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,WEST ENGLEWOOD,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,WEST GARFIELD PARK,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,WEST RIDGE,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,WEST TOWN,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-06,WOODLAWN,11.2,-12.6,-0.7,23.8,0.05,1.2,95,28
2014-01-07,ALBANY PARK,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,ARMOUR SQUARE,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,AUSTIN,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,AVALON PARK,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,AVONDALE,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,BRIDGEPORT,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,CHATHAM,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,DOUGLAS,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,EAST GARFIELD PARK,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,EDGEWATER,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,ENGLEWOOD,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,FULLER PARK,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,GRAND BOULEVARD,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,GREATER GRAND CROSSING,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,HERMOSA,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,HUMBOLDT PARK,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,HYDE PARK,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,IRVING PARK,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,KENWOOD,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,LAKE VIEW,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,LINCOLN PARK,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,LINCOLN SQUARE,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,LOGAN SQUARE,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,LOOP,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,LOWER WEST SIDE,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,MCKINLEY PARK,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,NEAR NORTH SIDE,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,NEAR SOUTH SIDE,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,NEAR WEST SIDE,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,NEW CITY,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,NORTH CENTER,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,NORTH LAWNDALE,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,NORTH PARK,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,PORTAGE PARK,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,ROGERS PARK,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
2014-01-07,SOUTH CHICAGO,5.6,-10.3,-2.35,15.9,0.01,0.2,95,24
